Time_hours	DecisionTree	KNeighbors	RandomForest	SVC
0.25	0.932815102721	0.503053858967	0.689616879511	0.498056635203
0.5	0.929483620211	0.634092171016	0.930594114381	0.710161021655
0.75	0.936701832315	0.691282620766	0.93614658523	0.696835091616
1.0	0.9372570794	0.769572459745	0.928373126041	0.740144364242
1.25	0.936701832315	0.782343142699	0.936701832315	0.783453636868
1.5	0.9372570794	0.787895613548	0.9372570794	0.789006107718
1.75	0.9372570794	0.808439755691	0.9372570794	0.813436979456
2.0	0.987229317046	0.875624652971	0.985563575791	0.886174347585
2.25	0.987229317046	0.893392559689	0.987229317046	0.892282065519
2.5	0.998334258745	0.889505830094	0.987229317046	0.897279289284
2.75	0.987784564131	0.891726818434	0.986118822876	0.896724042199
3.0	0.998334258745	0.889505830094	0.986118822876	0.901166018878
3.25	0.998334258745	0.900610771793	0.998334258745	0.898945030539
3.5	0.998334258745	0.892837312604	0.998334258745	0.904497501388
3.75	0.99666851749	0.891726818434	0.99666851749	0.906163242643
4.0	0.998334258745	0.882842865075	0.987784564131	0.901721265963
4.25	0.998334258745	0.880621876735	0.99777901166	0.901166018878
4.5	0.998334258745	0.88339811216	0.990560799556	0.906718489728
4.75	0.998334258745	0.88006662965	0.987784564131	0.901721265963
5.0	0.998334258745	0.87673514714	0.995002776235	0.910605219323
5.25	0.99666851749	0.899500277624	0.99777901166	0.908939478068
5.5	0.998334258745	0.912270960577	0.998334258745	0.915047196002
5.75	0.998334258745	0.916712937257	0.99777901166	0.915047196002
6.0	0.998334258745	0.914491948917	0.998334258745	0.917268184342
6.25	1.0	0.912826207662	1.0	0.915047196002
6.5	1.0	0.915602443087	0.998334258745	0.917823431427
6.75	1.0	0.920044419767	0.998334258745	0.921154913937
7.0	1.0	0.927817878956	0.998334258745	0.925041643531
7.25	1.0	0.936701832315	0.998334258745	0.928928373126
7.5	0.998334258745	0.938922820655	0.998334258745	0.929483620211
7.75	0.998334258745	0.941143808995	0.998334258745	0.928373126041
8.0	1.0	0.949472515269	0.998334258745	0.931704608551
8.25	1.0	0.948917268184	0.998334258745	0.931149361466
8.5	0.998334258745	0.950583009439	0.998334258745	0.940033314825
8.75	1.0	0.942254303165	0.998334258745	0.93614658523
9.0	0.998334258745	0.948362021099	0.998334258745	0.93614658523
